Level	Date and Time	Source	Event ID	Task Category
Information	3/18/2019 11:24:07 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 11:24:07 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 10:24:07 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 10:24:07 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 9:24:07 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 9:24:07 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 8:24:07 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 8:24:07 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 7:37:22 PM	Microsoft-Windows-Windows Defender	1001	None	"Windows Defender Antivirus scan has finished.
 	Scan ID: {DCAE69E5-0D7E-4EEB-BE0A-1C50BB9370BC}
 	Scan Type: Antimalware
 	Scan Parameters: Custom Scan
 	User: MINGWIN\Doraeming
 	Scan Time: 0:00:00"
Information	3/18/2019 7:37:22 PM	Microsoft-Windows-Windows Defender	1000	None	"Windows Defender Antivirus scan has started.
 	Scan ID: {DCAE69E5-0D7E-4EEB-BE0A-1C50BB9370BC}
 	Scan Type: Antimalware
 	Scan Parameters: Custom Scan
 	Scan Resources: file:_C:\Users\Doraeming\Desktop\sql.db
 	User: MINGWIN\Doraeming"
Information	3/18/2019 7:24:07 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 7:24:07 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 5:39:54 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 5:39:54 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 4:18:18 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1429.0
 	Antispyware signature version: 1.289.1429.0
 	Network Realtime Inspection signature version: 1.289.1429.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 18:38:24
 	Antispyware signature creation time: 2019/3/17 18:38:23
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 4:18:18 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1429.0
"
Information	3/18/2019 3:34:40 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1429.0
 	Previous Signature Version: 1.289.1398.0
 	Signature Type: AntiSpyware
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/18/2019 3:34:40 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1429.0
 	Previous Signature Version: 1.289.1398.0
 	Signature Type: AntiVirus
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/18/2019 2:14:27 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1398.0
 	Antispyware signature version: 1.289.1398.0
 	Network Realtime Inspection signature version: 1.289.1398.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 0
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 7:48:16
 	Antispyware signature creation time: 2019/3/17 7:48:14
 	Last quick scan start time: 2019/3/18 3:21:26
 	Last quick scan end time: 2019/3/18 3:36:21
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 2:14:27 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1398.0
"
Information	3/18/2019 11:36:21 AM	Microsoft-Windows-Windows Defender	1001	None	"Windows Defender Antivirus scan has finished.
 	Scan ID: {470EE19F-2534-4551-BC7F-A29BF85CE471}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
 	User: NT AUTHORITY\SYSTEM
 	Scan Time: 0:14:55"
Information	3/18/2019 11:21:27 AM	Microsoft-Windows-Windows Defender	1013	None	"Windows Defender Antivirus has removed history of malware and other potentially unwanted software.
 	Time: 2019/3/3 11:21:26
 	User: NT AUTHORITY\SYSTEM
"
Information	3/18/2019 11:21:26 AM	Microsoft-Windows-Windows Defender	1000	None	"Windows Defender Antivirus scan has started.
 	Scan ID: {470EE19F-2534-4551-BC7F-A29BF85CE471}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
 	Scan Resources: 
 	User: NT AUTHORITY\SYSTEM"
Information	3/18/2019 10:53:02 AM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1398.0
 	Antispyware signature version: 1.289.1398.0
 	Network Realtime Inspection signature version: 1.289.1398.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 3
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 7:48:16
 	Antispyware signature creation time: 2019/3/17 7:48:14
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/18/2019 10:53:02 AM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1398.0
"
Information	3/17/2019 11:29:10 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1398.0
 	Antispyware signature version: 1.289.1398.0
 	Network Realtime Inspection signature version: 1.289.1398.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 3
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 7:48:16
 	Antispyware signature creation time: 2019/3/17 7:48:14
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/17/2019 11:29:10 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1398.0
"
Information	3/17/2019 10:29:10 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1398.0
 	Antispyware signature version: 1.289.1398.0
 	Network Realtime Inspection signature version: 1.289.1398.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 3
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 7:48:16
 	Antispyware signature creation time: 2019/3/17 7:48:14
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/17/2019 10:29:10 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1398.0
"
Information	3/17/2019 9:25:52 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1398.0
 	Antispyware signature version: 1.289.1398.0
 	Network Realtime Inspection signature version: 1.289.1398.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 3
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 7:48:16
 	Antispyware signature creation time: 2019/3/17 7:48:14
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/17/2019 9:25:52 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1398.0
"
Information	3/17/2019 8:25:52 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1398.0
 	Antispyware signature version: 1.289.1398.0
 	Network Realtime Inspection signature version: 1.289.1398.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 3
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/17 7:48:16
 	Antispyware signature creation time: 2019/3/17 7:48:14
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/17/2019 8:25:52 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1398.0
"
Information	3/17/2019 7:34:20 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1398.0
 	Previous Signature Version: 1.289.1324.0
 	Signature Type: AntiSpyware
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/17/2019 7:34:20 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1398.0
 	Previous Signature Version: 1.289.1324.0
 	Signature Type: AntiVirus
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/17/2019 1:25:58 AM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1324.0
 	Antispyware signature version: 1.289.1324.0
 	Network Realtime Inspection signature version: 1.289.1324.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/16 10:10:51
 	Antispyware signature creation time: 2019/3/16 10:10:50
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/17/2019 1:25:58 AM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1324.0
"
Information	3/17/2019 12:25:58 AM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1324.0
 	Antispyware signature version: 1.289.1324.0
 	Network Realtime Inspection signature version: 1.289.1324.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/16 10:10:51
 	Antispyware signature creation time: 2019/3/16 10:10:50
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/17/2019 12:25:58 AM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1324.0
"
Warning	3/16/2019 11:28:47 PM	Microsoft-Windows-Windows Defender	1002	None	"Windows Defender Antivirus scan has been stopped before completion.
 	Scan ID: {0C2A40A9-5614-41EB-A58D-400BD88CD246}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
  	User: NT AUTHORITY\SYSTEM"
Information	3/16/2019 11:28:02 PM	Microsoft-Windows-Windows Defender	1000	None	"Windows Defender Antivirus scan has started.
 	Scan ID: {0C2A40A9-5614-41EB-A58D-400BD88CD246}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
 	Scan Resources: 
 	User: NT AUTHORITY\SYSTEM"
Information	3/16/2019 11:18:02 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1324.0
 	Antispyware signature version: 1.289.1324.0
 	Network Realtime Inspection signature version: 1.289.1324.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/16 10:10:51
 	Antispyware signature creation time: 2019/3/16 10:10:50
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/16/2019 11:18:02 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1324.0
"
Warning	3/16/2019 10:59:32 PM	Microsoft-Windows-Windows Defender	1002	None	"Windows Defender Antivirus scan has been stopped before completion.
 	Scan ID: {BBD190E9-E946-4725-98E6-F73B59410650}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
  	User: NT AUTHORITY\SYSTEM"
Information	3/16/2019 10:43:13 PM	Microsoft-Windows-Windows Defender	1013	None	"Windows Defender Antivirus has removed history of malware and other potentially unwanted software.
 	Time: 2019/3/1 22:43:12
 	User: NT AUTHORITY\SYSTEM
"
Information	3/16/2019 10:43:12 PM	Microsoft-Windows-Windows Defender	1000	None	"Windows Defender Antivirus scan has started.
 	Scan ID: {BBD190E9-E946-4725-98E6-F73B59410650}
 	Scan Type: Antimalware
 	Scan Parameters: Quick Scan
 	Scan Resources: 
 	User: NT AUTHORITY\SYSTEM"
Information	3/16/2019 10:17:59 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1324.0
 	Antispyware signature version: 1.289.1324.0
 	Network Realtime Inspection signature version: 1.289.1324.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/16 10:10:51
 	Antispyware signature creation time: 2019/3/16 10:10:50
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/16/2019 10:17:59 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1324.0
"
Information	3/16/2019 9:28:59 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1324.0
 	Previous Signature Version: 1.289.1306.0
 	Signature Type: AntiSpyware
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/16/2019 9:28:59 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1324.0
 	Previous Signature Version: 1.289.1306.0
 	Signature Type: AntiVirus
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/16/2019 9:02:08 PM	Microsoft-Windows-Windows Defender	1151	None	"Endpoint Protection client health report (time in UTC):
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Network Realtime Inspection engine version: 1.1.15700.9
 	Antivirus signature version: 1.289.1306.0
 	Antispyware signature version: 1.289.1306.0
 	Network Realtime Inspection signature version: 1.289.1306.0
 	RTP state: Enabled
 	OA state: Enabled
 	IOAV state: Enabled
 	BM state: Enabled
 	Antivirus signature age: 0
 	Antispyware signature age: 0
 	Last quick scan age: 2
 	Last full scan age: 4294967295
 	Antivirus signature creation time: 2019/3/16 5:30:49
 	Antispyware signature creation time: 2019/3/16 5:30:48
 	Last quick scan start time: 2019/3/14 8:29:57
 	Last quick scan end time: 2019/3/14 8:44:10
 	Last quick scan source: 2
 	Last full scan start time: 1601/1/1 0:00:00
 	Last full scan end time: 1601/1/1 0:00:00
 	Last full scan source: 0
 	Product status: 0x00080000
"
Information	3/16/2019 9:02:08 PM	Microsoft-Windows-Windows Defender	1150	None	"Endpoint Protection client is up and running in a healthy state.
 	Platform version: 4.18.1902.2
 	Engine version: 1.1.15700.9
 	Signature version: 1.289.1306.0
"
Information	3/16/2019 4:55:27 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1306.0
 	Previous Signature Version: 1.289.1267.0
 	Signature Type: AntiSpyware
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
Information	3/16/2019 4:55:27 PM	Microsoft-Windows-Windows Defender	2000	None	"Windows Defender Antivirus signature version has been updated.
 	Current Signature Version: 1.289.1306.0
 	Previous Signature Version: 1.289.1267.0
 	Signature Type: AntiVirus
 	Update Type: Delta
 	User: NT AUTHORITY\SYSTEM
 	Current Engine Version: 1.1.15700.9
 	Previous Engine Version: 1.1.15700.9"
